PERMITNUMBER,PERMITTYPE,PERMITSUBTYPE,ISSUED,DESCRIPTION,SITE_ADDR,CONTRACTOR_NAME,STATUS
DIS19-02050,HURRICANE MICHAEL,ROOF,43486,WITHDRAWN BY OWNER,7708 CAMBRIDGE CT,TPR CONSTRUCTION & DESIGN,WITHDRAWN
DIS19-02051,HURRICANE MICHAEL,ROOF,43486,Hurricane Residential Repairs,5606 DUNE CREEK TR,HORSLEY CONSTRUCTION GROUP INC...,ISSUED
DIS19-02052,HURRICANE MICHAEL,ROOF,43531,REROOF - HURRICANE REPAIRS,1001 GOOSE BAYOU RD,OWNER BUILDER,ISSUED
DIS19-02053,HURRICANE MICHAEL,ROOF, ,RES ROOF REPAIR,1001 GOOSE BAYOU RD,,APPLIED
DIS19-02054,HURRICANE MICHAEL,ROOF,43486,Hurricane Residential Repairs,3228 NAUTICAL DR,HORSLEY CONSTRUCTION GROUP INC...,ISSUED
DIS19-02055,HURRICANE MICHAEL,ROOF,43486,Hurricane Residential Repairs,7301 RESOTA BEACH RD,HORSLEY CONSTRUCTION GROUP INC...,ISSUED
DIS19-02056,HURRICANE MICHAEL,ROOF,43486,Hurricane Residential Repairs,3237 NAUTICAL DR,HORSLEY CONSTRUCTION GROUP INC...,ISSUED
DIS19-02057,HURRICANE MICHAEL,ROOF,43486,Hurricane Residential Repairs,3337 NAUTICAL DR,HORSLEY CONSTRUCTION GROUP INC...,ISSUED
DIS19-02058,HURRICANE MICHAEL,ROOF,43486,REPLACEMENT ROOF 50 SQ,8839 PARK AVE,"ART CONSTRUCTION  OF NW FL, LL...",FINALED
DIS19-02059,HURRICANE MICHAEL,ROOF,43486,REPLACEMENT ROOF 31 SQ,4205 NORTH SHORE RD,"ART CONSTRUCTION  OF NW FL, LL...",FINALED
DIS19-02060,HURRICANE MICHAEL,ROOF,43486,REPLACEMENT ROOF 21 SQ,14544 BONNIE GIRLS WAY,"ART CONSTRUCTION  OF NW FL, LL...",ISSUED
DIS19-02061,HURRICANE MICHAEL,ROOF,43486,Hurricane Residential Repairs,1121 PIERSON DR,HORSLEY CONSTRUCTION GROUP INC...,FINALED
DIS19-02062,HURRICANE MICHAEL,ROOF,43486,Hurricane Residential Repairs,925 PIERSON DR,HORSLEY CONSTRUCTION GROUP INC...,ISSUED
DIS19-02063,HURRICANE MICHAEL,ROOF,43486,Hurricane Residential Repairs,6311 DUNE CREEK WAY,HORSLEY CONSTRUCTION GROUP INC...,ISSUED
DIS19-02064,HURRICANE MICHAEL,ROOF,43486,Hurricane Residential Repairs,6313 DUNE CREEK WAY,HORSLEY CONSTRUCTION GROUP INC...,ISSUED
DIS19-02065,HURRICANE MICHAEL,ROOF,43486,Hurricane Residential Repairs,7517 NAUTICAL CT,HORSLEY CONSTRUCTION GROUP INC...,ISSUED
DIS19-02066,HURRICANE MICHAEL,ROOF,43486,Hurricane Residential Repairs,2042 SHAMROCK LN,HORSLEY CONSTRUCTION GROUP INC...,ISSUED
DIS19-02067,HURRICANE MICHAEL,ROOF,43486,REPLACEMENT ROOF 49SQ,3104 PRESERVE ROOKERY BLVD,SEC RENOVATIONS & REPAIRS LLC,FINALED
DIS19-02068,HURRICANE MICHAEL,ROOF,43486,REPLACEMENT ROOF 57 SQ,292 LAIRD CIR,SEC RENOVATIONS & REPAIRS LLC,FINALED
DIS19-02069,HURRICANE MICHAEL,ROOF,43486,Hurricane Residential Repairs,5205 PINETREE RD,HORSLEY CONSTRUCTION GROUP INC...,ISSUED
DIS19-02070,HURRICANE MICHAEL,ROOF,43486,Hurricane Residential Repairs,4920 HIGH POINT DR,HORSLEY CONSTRUCTION GROUP INC...,ISSUED
DIS19-02071,HURRICANE MICHAEL,ROOF,43486,Residential Hurricane Replacem...,1204 PATON LN,SEA-SIDE BUILDING SERVICES AND...,ISSUED
DIS19-02072,HURRICANE MICHAEL,ROOF,43486,Residential Hurricane Replacem...,105 PALM HARBOUR BLVD,SEA-SIDE BUILDING SERVICES AND...,ISSUED
DIS19-02073,HURRICANE MICHAEL,ROOF,43486,Residential Hurricane Replacem...,215 PINE RIDGE DR,SEA-SIDE BUILDING SERVICES AND...,FINALED
DIS19-02074,HURRICANE MICHAEL,ROOF,43486,Residential Hurricane Replacem...,227 PINE RIDGE DR,SEA-SIDE BUILDING SERVICES AND...,ISSUED
DIS19-02075,HURRICANE MICHAEL,ROOF,43486,Residential Hurricane Replacem...,124 LAKERIDGE DR,SEA-SIDE BUILDING SERVICES AND...,FINALED
DIS19-02076,HURRICANE MICHAEL,ROOF,43486,Residential Hurricane Repairs,1427 TROUT DR,AAA ROOFMASTERS INC,ISSUED
DIS19-02077,HURRICANE MICHAEL,ROOF,43486,Residential Hurricane Repairs,3729 PRESERVE BAY BLVD,AAA ROOFMASTERS INC,ISSUED
DIS19-02078,HURRICANE MICHAEL,ROOF,43486,Residential Hurricane Repairs,1833 HWY 2297,AAA ROOFMASTERS INC,ISSUED
DIS19-02079,HURRICANE MICHAEL,ROOF,43486,REPLACEMENT ROOF 30SQ,2826 GWENDOLEN CT,A & A ROOFING OF NW FL INC,ISSUED
DIS19-02080,HURRICANE MICHAEL,ROOF,43486,REPLACEMENT ROOF 35SQ,3823 ROBERTSON LN,A & A ROOFING OF NW FL INC,WITHDRAWN
DIS19-02081,HURRICANE MICHAEL,ROOF,43486,REPLACEMENT ROOF 35SQ,1417 GRAHAM LN,A & A ROOFING OF NW FL INC,ISSUED
DIS19-02082,HURRICANE MICHAEL,ROOF,43486,Residential Hurricane Repalcem...,7914 OAK VIEW DR,TOTAL HOME ROOFING,FINALED
DIS19-02083,HURRICANE MICHAEL,ROOF,43500,Residential Hurricane Replacem...,5626 SOUTH LAGOON DR,COASTAL BUILDERS OF N W FLORID...,ISSUED
DIS19-02084,HURRICANE MICHAEL,ROOF,43486,Hurricane Residential,613 AMBERJACK DR,JASPER CONTRACTORS INC.,FINALED
DIS19-02085,HURRICANE MICHAEL,ROOF,43486,Residential Hurricane,126 TREASURE PALMS DR,CMR CONSTRUCTION & ROOFING LLC,FINALED
DIS19-02086,HURRICANE MICHAEL,ROOF,43486,REPLACEMENT ROOF 19SQ,1142 4TH CIR,"CERTIFIED ROOFING SOLUTIONS , ...",FINALED
DIS19-02087,HURRICANE MICHAEL,ROOF,43486,Huricane Repairs Residential,13112 WHITE WESTERN SPRINGS RD,"ROOF SYSTEMS UNLIMITED, INC.",FINALED
DIS19-02088,HURRICANE MICHAEL,ROOF,43486,Hurricane Residential,202 JASE CT,JASPER CONTRACTORS INC.,FINALED
DIS19-02089,HURRICANE MICHAEL,ROOF,43486,REPLACEMENT ROOF 39SQ,7519 GAINER BAYOU RD N,"ART CONSTRUCTION  OF NW FL, LL...",ISSUED
DIS19-02090,HURRICANE MICHAEL,ROOF,43486,REPLACEMENT ROOF 29SQ,4227 LORRAINE ST,"ART CONSTRUCTION  OF NW FL, LL...",FINALED
DIS19-02091,HURRICANE MICHAEL,ROOF,43486,REPLACEMENT ROOF 17SQ,1510 AIRPORT RD,"ART CONSTRUCTION  OF NW FL, LL...",ISSUED
DIS19-02092,HURRICANE MICHAEL,ROOF,43486,REPLACEMENT ROOF 15SQ,7235 KEIBER CIR,"ART CONSTRUCTION  OF NW FL, LL...",FINALED
DIS19-02093,HURRICANE MICHAEL,ROOF,43486,REPLACEMENT ROOF 35SQ,202 SOUTHFIELDS RD A & B,"ART CONSTRUCTION  OF NW FL, LL...",FINALED
DIS19-02094,HURRICANE MICHAEL,ROOF,43486,REPLACEMENT ROOF 35SQ,2020 THREE PUTT LN,"ART CONSTRUCTION  OF NW FL, LL...",FINALED
DIS19-02095,HURRICANE MICHAEL,ROOF,43486,REPLACEMENT ROOF 18,7321 LITTLETON RD,"ART CONSTRUCTION  OF NW FL, LL...",FINALED
DIS19-02096,HURRICANE MICHAEL,ROOF,43486,Hurricane Residential Replacem...,2808 KRYSTAL LEIGH CT,INLAND CONSTRUCTION AND ENGINE...,FINALED
DIS19-02097,HURRICANE MICHAEL,ROOF,43486,Hurricane Residential Replacem...,804 26TH ST E,INLAND CONSTRUCTION AND ENGINE...,ISSUED
DIS19-02098,HURRICANE MICHAEL,ELECTRICAL,43486,SERVICE REPAIR,6816 SUNRISE DR,P. JACKSON ELECTRIC LLC,FINALED
DIS19-02099,HURRICANE MICHAEL,ROOF,43486,Residential Repalcement,2505 PELICAN BAY DR,THE HOME DEPOT,FINALED
DIS19-02100,HURRICANE MICHAEL,ELECTRICAL,43486,TEMP POLE,2009 23RD CT W,"CHRIS WALKER ELECTRIC, LLC",FINALED
DIS19-02101,HURRICANE MICHAEL,ROOF,43488,Residential Hurricane Repairs,332 HARVARD BLVD,SOUTHERN CONSTRUCTION (CCC) SE...,ISSUED
DIS19-02102,HURRICANE MICHAEL,ROOF,43486,Residential Replacement,8520 RHONDA RD,"NEW IMAGE CONTRACTING, LLC",ISSUED
DIS19-02103,HURRICANE MICHAEL,ROOF,43486,Residential Replacement,3938 JENKINS RD,"NEW IMAGE CONTRACTING, LLC",FINALED
DIS19-02104,HURRICANE MICHAEL,ROOF,43486,Residential Replacement Roof,9213 INDIAN BLUFF RD,"ARTISAN CONSTRUCTION COMPANY, ...",ISSUED
DIS19-02105,HURRICANE MICHAEL,ROOF,43486,REPLACEMENT ROOF 40SQ,12439 BEAR CREEK RD N,MIKE FARRIS INC,FINALED
DIS19-02106,HURRICANE MICHAEL,ROOF,43486,REPLACEMENT ROOF 17 SQ,6911 GREENFIELD RD,MIKE FARRIS INC,ISSUED
DIS19-02107,HURRICANE MICHAEL,ROOF,43486,REPLACEMENT ROOF 35 SQ,5339 WYMORE RD,MIKE FARRIS INC,ISSUED
DIS19-02108,HURRICANE MICHAEL,ROOF,43486,Hurricane Residential Repairs,914 RAINELLI CT,CORNERSTONE ROOFING,ISSUED
DIS19-02109,HURRICANE MICHAEL,ROOF,43486,REPLACEMENT ROOF 25SQ,9107 TRACY WAY,Archer Exteriors Inc,FINALED
DIS19-02110,HURRICANE MICHAEL,ROOF,43486,REPLACEMENT ROOF 22SQ,11231 HWY 77,SITTE ROOFING & GUTTERING INC,FINALED
DIS19-02111,HURRICANE MICHAEL,ROOF,43486,Residential Hurricane Replacem...,9305 KELLY CIR,1ST CHOICE HOME IMPROVEMENTS I...,FINALED
DIS19-02112,HURRICANE MICHAEL,ROOF,43486,Residential Hurricane Replacem...,218 ROMANZA PL,1ST CHOICE HOME IMPROVEMENTS I...,FINALED
DIS19-02113,HURRICANE MICHAEL,ROOF,43486,Hurricane Residential Replacem...,219 BOCA SHORES DR,SUNCOAST REROOFING LLC,FINALED
DIS19-02114,HURRICANE MICHAEL,ROOF,43486,Hurricane Residential Replacem...,3913 PRINCESS LN,SUNCOAST REROOFING LLC,ISSUED
DIS19-02115,HURRICANE MICHAEL,ROOF,43486,Hurricane Residential Replacem...,2315 MOUND AVE,SUNCOAST REROOFING LLC,FINALED
DIS19-02116,HURRICANE MICHAEL,ROOF,43486,Hurricane Residential Replacem...,11815 RAINTREE DR,SUNCOAST REROOFING LLC,FINALED
DIS19-02117,HURRICANE MICHAEL,ROOF,43486,Hurricane Residential Replacem...,6206 HILLTOP AVE,SUNCOAST REROOFING LLC,FINALED
DIS19-02118,HURRICANE MICHAEL,ROOF,43486,Hurricane Residential Replacem...,200 LAKERIDGE DR,SUNCOAST REROOFING LLC,FINALED
DIS19-02119,HURRICANE MICHAEL,ROOF,43486,Hurricane Residential Replacem...,9030 SUMMER CIR,SUNCOAST REROOFING LLC,FINALED
DIS19-02120,HURRICANE MICHAEL,ROOF,43486,Hurricane Residential Replacem...,5315 FRANK HOUGH RD,SUNCOAST REROOFING LLC,FINALED
DIS19-02121,HURRICANE MICHAEL,ROOF,43486,Residential Hurricane Replacem...,154 ROY LN,"PIT CREW ROOFING AND REPAIR, L...",WITHDRAWN
DIS19-02122,HURRICANE MICHAEL,ROOF,43486,Residential Hurricane Reapirs,448 WAHOO RD,"KYLE NICHOLS CONSTRUCTION, LLC",ISSUED
DIS19-02123,HURRICANE MICHAEL,ROOF,43486,Residential Hurricane Repairs,2234 TRINITY ST,LEWIS WALKER ROOFING INC,FINALED
DIS19-02124,HURRICANE MICHAEL,ROOF,43486,Residential Hurricane Repairs,247 BOCA SHORES DR,JASPER CONTRACTORS INC.,FINALED
DIS19-02125,HURRICANE MICHAEL,ROOF,43486,Residential Hurricane Repairs,305 HILAND DR,JASPER CONTRACTORS INC.,FINALED
DIS19-02126,HURRICANE MICHAEL,ROOF,43486,Residential Hurricane Replacem...,412 MILL CREEK DR,TOTAL HOME ROOFING,FINALED
DIS19-02127,HURRICANE MICHAEL,ROOF,43486,Residential Hurricane Repairs,3820 WHITEHEAD BV,BERRYS CONSTRUCTION COMPANY OF...,ISSUED
DIS19-02128,HURRICANE MICHAEL,ROOF,43486,Residential Hurricane Repairs,615 AMBERJACK DR,DONALSON CONTRACTING LLC,FINALED
DIS19-02129,HURRICANE MICHAEL,ROOF,43486,Residential Replacement,503 BLUE HERON DR,"INFINITY ROOFING & SIDING, INC...",ISSUED
DIS19-02131,HURRICANE MICHAEL,ROOF,43486,Residential Replacement,8321 RESOTA BEACH RD,"SPECIALTY ROOFERS, INC",FINALED
DIS19-02132,HURRICANE MICHAEL,ROOF,43486,Residential Replacement,4141 KIRKPATRICK RD,"SPECIALTY ROOFERS, INC",FINALED
DIS19-02133,HURRICANE MICHAEL,ROOF,43486,Residential Replacement,5002 PRETTY WAY,"SPECIALTY ROOFERS, INC",FINALED
DIS19-02134,HURRICANE MICHAEL,ROOF,43486,Residential Replacement,8812 RESOTA BEACH RD,"SPECIALTY ROOFERS, INC",FINALED
DIS19-02135,HURRICANE MICHAEL,ROOF,43486,Residential Replacement,1628 VECUNA CIR,"SPECIALTY ROOFERS, INC",FINALED
DIS19-02136,HURRICANE MICHAEL,ROOF,43486,Residential Replacement,5407 HILLTOP AVE,"SPECIALTY ROOFERS, INC",ISSUED
DIS19-02137,HURRICANE MICHAEL,ROOF,43486,Residential Replacement,5407 HILLTOP AVE B,"SPECIALTY ROOFERS, INC",FINALED
DIS19-02138,HURRICANE MICHAEL,ROOF,43486,Residential Replacement,3914 VICAR ST,"SPECIALTY ROOFERS, INC",FINALED
DIS19-02139,HURRICANE MICHAEL,ROOF,43486,Residential Replacement,8208 GRAND BAY BLVD,"SPECIALTY ROOFERS, INC",FINALED
DIS19-02140,HURRICANE MICHAEL,ROOF,43484,Residential Hurricane Roof Rep...,4624 DELWOOD PARK BLVD,ALLSTATE CONSTRUCTION ROOFING ...,FINALED
DIS19-02141,HURRICANE MICHAEL,ROOF,43488,Residential Hurricane Repairs,2938 PATRICIA ANN LN,"GSD CONSTRUCTION SERVICES, LLC",FINALED
DIS19-02142,HURRICANE MICHAEL,ROOF,43488,Residential Hurricane Repairs,235 WOODLAWN CT,"GSD CONSTRUCTION SERVICES, LLC",FINALED
DIS19-02143,HURRICANE MICHAEL,ROOF,43487,REPLACEMENT ROOF 28SQ,5421 WYMORE RD,GRACICARL'S SERVICES INC,FINALED
DIS19-02144,HURRICANE MICHAEL,INTERIOR/EXTERIOR,43487,DRYWALL & INSULATION,5421 WYMORE RD,GRACICARL'S SERVICES INC,FINALED
DIS19-02145,HURRICANE MICHAEL,ROOF,43487,REPLACEMENT ROOF48SQ,1134 PLANTATION DR,GRACICARL'S SERVICES INC,FINALED
DIS19-02146,HURRICANE MICHAEL,INTERIOR/EXTERIOR,43487,DRYWALL & INSULATION,1134 PLANTATION DR,GRACICARL'S SERVICES INC,ISSUED
DIS19-02147,HURRICANE MICHAEL,ELECTRICAL,43489,ADDITIONS W/OUT SERV CHANGE,4213 MILL BAYOU RD,OWNER BUILDER,ISSUED
DIS19-02148,HURRICANE MICHAEL,ROOF,43487,REROOF - HURRICANE REPAIRS,3124 FAWN RD,OWNER BUILDER,FINALED
DIS19-02149,HURRICANE MICHAEL,ROOF,43487,REROOF - HURRICANE REPAIRS,9316 SUMMER CIR,A.J. WELLS ROOFING & CONSTRUCT...,FINALED
DIS19-02150,HURRICANE MICHAEL,ROOF,43487,REROOF - HURRICANE REPAIRS,1619 SANTA ANITA DR,A.J. WELLS ROOFING & CONSTRUCT...,FINALED
DIS19-02151,HURRICANE MICHAEL,INTERIOR/EXTERIOR, ,INTERIOR/EXTERIOR REPAIRS,4514 SCHOONER LN,LAYFIELD CONSTRUCTION INC,SUBSTANTIAL DAMAGE DETERMINED
DIS19-02152,HURRICANE MICHAEL,ROOF, ,REPLACEMENT ROOF 37SQ,4514 SCHOONER LN,LAYFIELD CONSTRUCTION INC,APPLIED
DIS19-02153,HURRICANE MICHAEL,ELECTRICAL,43487,Temp Power Pole FEMA RV,1931 CREAMER RD,Owner,FINALED
DIS19-02154,HURRICANE MICHAEL,ROOF,43487,ROOF OVER 48SQ,8316 ED LEE RD,OWNER/BUILDER,FINALED
DIS19-02155,HURRICANE MICHAEL,ROOF,43487,REPALCEMENT ROOF 44SQ,3119 WOOD VALLEY RD,"ALAN'S ROOFING, INC.",FINALED
DIS19-02156,HURRICANE MICHAEL,ROOF,43487,RE-ROOF 14 SQ LOT # 202,1940 SHERMAN AVE 329,"ALAN'S ROOFING, INC.",FINALED
DIS19-02157,HURRICANE MICHAEL,ROOF,43487,REROOF,12216 RAINTREE DR,"SPC ROOFERS, ""LLC""",FINALED
DIS19-02158,HURRICANE MICHAEL,INTERIOR/EXTERIOR,43487,"Sheetrock, Insuclation, Plumbi...",2333 AMHURST ST,"SYSTEM BUILT PROPERTIES, LLC",FINALED
DIS19-02159,HURRICANE MICHAEL,ROOF,43487,REPLACEMNT ROOF 36SQ,4514 MAGNOLIA BEACH RD,PATRIOT BUILDING CONSTRUCTION ...,FINALED
DIS19-02160,HURRICANE MICHAEL,ROOF,43487,REPLACEMNT ROOF 42 SQ,2227 33RD ST W,PATRIOT BUILDING CONSTRUCTION ...,FINALED
DIS19-02161,HURRICANE MICHAEL,DEMOLITION,43487,DEMO HOUSE,1204 CORNELL DR,OWNER,ISSUED
DIS19-02162,HURRICANE MICHAEL,ROOF,43487,REROOF - HURRICANE REPAIRS,2219 16TH ST E,Fields Discount Roofing & Cons...,FINALED
DIS19-02163,HURRICANE MICHAEL,ROOF, ,REROOF - HURRICANE REPAIRS,,Fields Discount Roofing & Cons...,APPLIED
DIS19-02164,HURRICANE MICHAEL,ROOF,43487,REPLACEMENT ROOF 32SQ,1515 BLUEGRASS LN,T & A ROOFING INC,FINALED
DIS19-02165,HURRICANE MICHAEL,ROOF,43487,REROOF HOUSE,160 DERBY WOODS DR,"PAUL THRASHER BUILDER, INC",FINALED
DIS19-02166,HURRICANE MICHAEL,ROOF,43487,Residential Hurricane Repairs,836 PLANTATION DR,HIGHLAND HOMES ROOFING,FINALED
DIS19-02167,HURRICANE MICHAEL,ROOF,43487,Residential Hurricane Repairs,7111 BROWN RD,HIGHLAND HOMES ROOFING,FINALED
DIS19-02168,HURRICANE MICHAEL,ROOF,43487,Residential Hurricane Repairs,4443 BAYWOOD DR,HIGHLAND HOMES ROOFING,FINALED
DIS19-02169,HURRICANE MICHAEL,ELECTRICAL,43487,TEMP POLE,5601 JULIE DR,JACK DANIELS ELECTRIC CO.,FINALED
DIS19-02170,HURRICANE MICHAEL,INTERIOR/EXTERIOR,43487,REPAIR THE ROOF TRUSSES,2044 THREE PUTT LN,BIGFOOT ROOFING & CONSTRUCTION...,ISSUED
DIS19-02171,HURRICANE MICHAEL,ELECTRICAL,43487,SERVICE REPAIR,5605 JULIE DR,JACK DANIELS ELECTRIC CO.,FINALED
DIS19-02172,HURRICANE MICHAEL,ELECTRICAL,43487,SERVICE REPAIR,5423 MERRITT BROWN RD,JACK DANIELS ELECTRIC CO.,FINALED
DIS19-02173,HURRICANE MICHAEL,ROOF,43487,REROOF,2226 TRINITY ST,EX EX ROOFING LLC,ISSUED
DIS19-02174,HURRICANE MICHAEL,ROOF,43487,RES. ROOF REPLACEMENT,5514 MERRITT BROWN RD,RENEWPRO INCORPORATION INC.,FINALED
DIS19-02175,HURRICANE MICHAEL,ROOF,43487,RES. ROOF REPLACEMENT,4444 SCHOONER LN,RENEWPRO INCORPORATION INC.,FINALED
DIS19-02176,HURRICANE MICHAEL,ROOF,43487,REROOF,4830 CHEROKEE HEIGHTS RD,EX EX ROOFING LLC,FINALED
DIS19-02177,HURRICANE MICHAEL,ROOF,43487,REROOF,3675 CEDAR PARK LN,EX EX ROOFING LLC,FINALED
DIS19-02178,HURRICANE MICHAEL,ROOF,43487,REROOF,8902 KIWI LN,EX EX ROOFING LLC,FINALED
DIS19-02180,HURRICANE MICHAEL,ROOF,43487,REPLACEMENT ROOF 28 SQ,4904 MC CALL LN,G AND G ROOFING CONSTRUCTION I...,FINALED
DIS19-02181,HURRICANE MICHAEL,ROOF,43487,Residential Hurricane Repairs,11606 OLD BICYCLE RD,OX CONSTRUCTION AND COMPANY L....,ISSUED
DIS19-02182,HURRICANE MICHAEL,ELECTRICAL,43487,FEMA PRE-INSPECTION FOR POWER,6015 MUSCOGEE DR,FLORIDA METER POLE COMPANY INC...,FINALED
DIS19-02183,HURRICANE MICHAEL,ROOF,43487,Residential Hurricane Repairs,201 JUDY CIR,OX CONSTRUCTION AND COMPANY L....,FINALED
DIS19-02184,HURRICANE MICHAEL,ELECTRICAL,43487,FEMA TEMP POWER POLE,5105 10TH PL E,FLORIDA METER POLE COMPANY INC...,FINALED
DIS19-02185,HURRICANE MICHAEL,EXTERIOR,43487,Frame & Side Chimney,9005 POLLY AVE,INLAND CONSTRUCTION AND ENGINE...,ISSUED
DIS19-02186,HURRICANE MICHAEL,ROOF,43487,COMM ROOF REPLACEMENT,2230 HWY 77A,TAG GENERAL CONTRACTORS INC,ISSUED
DIS19-02187,HURRICANE MICHAEL,ROOF,43487,REROOF,5504 HWY 2297,UNIVERSAL CONTRACTING OF FLORI...,FINALED
DIS19-02188,HURRICANE MICHAEL,ROOF,43487,REROOF   BOAT HOUSE,7135 DOLPHIN BAY BLVD,UNIVERSAL CONTRACTING OF FLORI...,FINALED
DIS19-02189,HURRICANE MICHAEL,ROOF,43487,REROOF,19917 ALTA VISTA DR,UNIVERSAL CONTRACTING OF FLORI...,FINALED
DIS19-02190,HURRICANE MICHAEL,ROOF,43488,REROOF,2902 NADINE CT,UNIVERSAL CONTRACTING OF FLORI...,FINALED
DIS19-02191,HURRICANE MICHAEL,ROOF,43488,REROOF,5014 PRETTY,UNIVERSAL CONTRACTING OF FLORI...,FINALED
DIS19-02192,HURRICANE MICHAEL,ELECTRICAL,43487,FEMA TEMP POWER POLE,3904 HWY 231,FLORIDA METER POLE COMPANY INC...,ISSUED
DIS19-02193,HURRICANE MICHAEL,ELECTRICAL,43487,Service Repair,725 STAR AVE N,JERRY PYBUS ELECTRIC INC,ISSUED
DIS19-02194,HURRICANE MICHAEL,ELECTRICAL,43487,Service Repair,7023 10TH ST E,JERRY PYBUS ELECTRIC INC,FINALED
DIS19-02195,HURRICANE MICHAEL,ELECTRICAL,43487,SERVICE CHANGE - MH SERV POLE,7029 OAKENSHAW DR,TROY WILLIAMS/RENTER,FINALED
DIS19-02196,HURRICANE MICHAEL,INTERIOR,43501,"Hurricane Repairs: Dry wall, I...",4004 RIVERSIDE DR,ANDERSON CONSTRUCTION COMPANY ...,ISSUED
DIS19-02197,HURRICANE MICHAEL,INTERIOR,43501,"Hurricane Repairs: Dry wall, I...",2708 LONGLEAF RD,ANDERSON CONSTRUCTION COMPANY ...,FINALED
DIS19-02198,HURRICANE MICHAEL,ROOF,43487,REROOF - HURRICANE REPAIRS,7239 PENNY RD,BENCO COMMERICAL ROOFING,FINALED
DIS19-02199,HURRICANE MICHAEL,EXTERIOR,43487,VINYL SIDING,9212 CHRISTOPHER CIR,TWO RIVERS CONSTRUCTION LLC,FINALED
DIS19-02200,HURRICANE MICHAEL,ROOF,43487,REROOF - HURRICANE REPAIRS,112 HERITAGE CIR,BENCO COMMERICAL ROOFING,ISSUED
DIS19-02201,HURRICANE MICHAEL,INTERIOR,43487,REPAIR TRUSS,9208 CHRISTOPHER CIR,TWO RIVERS CONSTRUCTION LLC,FINALED
DIS19-02202,HURRICANE MICHAEL,ROOF,43487,Residential Hurricane Repairs,4218 GARRISON RD,RIVERSIDE CONSTRUCTION SERVICE...,FINALED
DIS19-02203,HURRICANE MICHAEL,ROOF,43487,Replace roof after storm damag...,159 LAKE MERIAL BLVD,"A-1 MASONRY, INC.",ISSUED
DIS19-02204,HURRICANE MICHAEL,DEMOLITION,43487,MOBILE HOME DEMO,901 24TH ST E,OWNER BUILDER,FINALED
DIS19-02205,HURRICANE MICHAEL,ROOF,43496,Residential Hurricane Repairs,5422 MERRITT BROWN RD,"ROYAL ROOFING, LLC",ISSUED
DIS19-02206,HURRICANE MICHAEL,ROOF,43500,Residential Hurricane Repairs,2810 KRYSTAL LEIGH CT,"ROYAL ROOFING, LLC",ISSUED
DIS19-02208,HURRICANE MICHAEL,ROOF,43487,REROOF - HURRICANE REPAIRS,718 HEAVENER LN,STAY DRY EXTERIORS (,ISSUED
DIS19-02209,HURRICANE MICHAEL,ROOF,43487,REPLACEMENT ROOF 50SQ,1016 COLLEGE BLVD N,TOP SEAL SERVICES CORP,FINALED
DIS19-02210,HURRICANE MICHAEL,ROOF,43487,Reroof after  storm damage,2608 CELIA AVE,NICOTERA ROOFING LLC,ISSUED
DIS19-02211,HURRICANE MICHAEL,ROOF,43487,Reroof after storm damage,6028 SOUTH LAGOON DR,NICOTERA ROOFING LLC,ISSUED
DIS19-02212,HURRICANE MICHAEL,ROOF,43487,RES ROOF REPLACEMENT,4508 TARA LN,GULF ATLANTIC ROOFING CORP,FINALED
DIS19-02213,HURRICANE MICHAEL,ROOF,43487,RES ROOF REPLACEMENT,4439 BRANNON RD,GULF ATLANTIC ROOFING CORP,ISSUED
DIS19-02214,HURRICANE MICHAEL,EXTERIOR,43487,REPAIR SIDING - HURRICANE DAMA...,656 SEAL DR,OWNER BUILDER,ISSUED
DIS19-02215,HURRICANE MICHAEL,INTERIOR/EXTERIOR,43487,OWNER CANCELLED PERMIT,506 BLUE HERON DR,CRAFTSMAN CUSTOM BUILDERS LLC,WITHDRAWN
DIS19-02216,HURRICANE MICHAEL,ROOF,43487,REROOF   METAL,22109 BATAAN AVE,OWNER/BUILDER,FINALED
DIS19-02217,HURRICANE MICHAEL,ROOF,43487,Reroof after storm,8709 OCONEE WAY,PATRICK VARIN DENNIS,ISSUED
DIS19-02218,HURRICANE MICHAEL,DEMOLITION,43495,COMM DEMO 2 BLDGS,4109 CATO RD,DUNN BUILDING CO LLC,FINALED
DIS19-02219,HURRICANE MICHAEL,INTERIOR/EXTERIOR,43487,INTER/EXTER HURRICANE REPAIRS,507 BLUE HERON DR,CRAFTSMAN CUSTOM BUILDERS LLC,ISSUED
DIS19-02220,HURRICANE MICHAEL,ROOF,43487,REROOF - HURRICANE REPAIRS,507 BLUE HERON DR,CRAFTSMAN CUSTOM BUILDERS LLC,FINALED
DIS19-02221,HURRICANE MICHAEL,ROOF,43487,Residential Hurricane Repairs,208 COTTONTAIL LN,FNF ENTERPRISES INC,FINALED
DIS19-02222,HURRICANE MICHAEL,ROOF,43487,Repair damage from storm,7634 KELLY HILL RD,PATRICK VARIN DENNIS,ISSUED
DIS19-02223,HURRICANE MICHAEL,DEMOLITION,43487,MOBILE HOME DEMO,4527 HILLTOP LN,"BROWN AND MILLS CONSTRUCTION, ...",ISSUED
DIS19-02224,HURRICANE MICHAEL,ROOF,43487,Residential Hurricane Repairs,7308 SOUTH LAGOON DR,FNF ENTERPRISES INC,FINALED
DIS19-02225,HURRICANE MICHAEL,ROOF,43487,Residential Hurricane Repairs,899 BEACH WAY N,FNF ENTERPRISES INC,FINALED
